eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeam,xCoord,yCoord,zoneCode,shotType,goalieInNetId,awayScore,homeScore
398,2,09:43,FLA,VGK,left,blocked-shot,VGK,49.0,0.0,D,,,,
45,1,09:24,FLA,VGK,right,hit,VGK,-99.0,-13.0,O,,,,
,3,19:12,FLA,VGK,right,carry-in,FLA,33.0,34.0,N,,,,
,2,19:45,FLA,VGK,left,pass,FLA,-66.0,3.0,D,,,,
93,1,12:35,FLA,VGK,right,shot,FLA,45.0,22.0,O,slap,8478499.0,,
711,2,19:25,FLA,VGK,left,hit,FLA,-1.0,-38.0,N,,,,
,1,11:21,FLA,VGK,right,carry-in,VGK,-28.0,34.0,O,,,,
,2,05:29,FLA,VGK,left,pass,VGK,85.0,-4.0,O,,,,
374,2,02:03,FLA,VGK,left,shot,FLA,-73.0,26.0,O,wrist,8478499.0,,
639,2,19:49,FLA,VGK,left,goal,FLA,-58.0,23.0,O,wrist,8478499.0,2.0,2.0
,1,13:36,FLA,VGK,right,pass,FLA,84.0,-10.0,D,,,,
621,2,16:34,FLA,VGK,left,blocked-shot,FLA,-51.0,2.0,D,,,,
15,1,01:20,FLA,VGK,right,hit,FLA,48.0,-40.0,O,,,,
808,3,03:56,FLA,VGK,right,blocked-shot,VGK,-69.0,4.0,D,,,,
87,1,09:40,FLA,VGK,right,goal,FLA,93.0,-5.0,O,wrap-around,8478499.0,1.0,0.0
,2,13:01,FLA,VGK,left,carry-in,VGK,-55.0,-42.0,D,,,,
,1,13:19,FLA,VGK,right,pass,FLA,67.0,-14.0,D,,,,
,1,16:42,FLA,VGK,right,pass,VGK,-73.0,36.0,O,,,,
845,3,15:49,FLA,VGK,right,hit,VGK,-68.0,-41.0,O,,,,
,2,11:35,FLA,VGK,left,pass,VGK,37.0,25.0,O,,,,
,2,18:43,FLA,VGK,left,carry-in,VGK,89.0,4.0,O,,,,
,1,10:49,FLA,VGK,right,carry-in,VGK,-80.0,31.0,O,,,,
923,3,17:46,FLA,VGK,right,hit,FLA,-72.0,7.0,D,,,,
367,1,18:58,FLA,VGK,right,blocked-shot,VGK,-64.0,-22.0,D,,,,
501,2,05:58,FLA,VGK,left,hit,FLA,75.0,1.0,D,,,,
,2,08:59,FLA,VGK,left,carry-in,VGK,74.0,32.0,O,,,,
304,2,00:51,FLA,VGK,left,blocked-shot,FLA,-83.0,0.0,D,,,,
531,2,13:52,FLA,VGK,left,hit,VGK,-69.0,40.0,D,,,,
523,2,12:54,FLA,VGK,left,hit,VGK,-65.0,-40.0,D,,,,
396,2,09:23,FLA,VGK,left,blocked-shot,FLA,-57.0,-26.0,D,,,,
525,2,13:08,FLA,VGK,left,hit,VGK,-21.0,39.0,N,,,,
213,1,15:19,FLA,VGK,right,hit,FLA,-43.0,-40.0,D,,,,
,3,05:33,FLA,VGK,right,carry-in,VGK,-50.0,-6.0,D,,,,
257,2,05:40,FLA,VGK,left,hit,VGK,1.0,-39.0,N,,,,
645,3,01:32,FLA,VGK,right,shot,FLA,56.0,-20.0,O,wrist,8478499.0,,
731,3,06:59,FLA,VGK,right,hit,FLA,-85.0,-34.0,D,,,,
23,1,03:14,FLA,VGK,right,hit,FLA,-1.0,39.0,N,,,,
,1,01:24,FLA,VGK,right,carry-in,FLA,58.0,-42.0,O,,,,
302,1,17:02,FLA,VGK,right,shot,VGK,-89.0,4.0,O,poke,8475683.0,,
,2,19:06,FLA,VGK,left,carry-in,FLA,-23.0,-28.0,O,,,,
224,1,17:25,FLA,VGK,right,hit,FLA,-1.0,40.0,N,,,,
41,1,08:10,FLA,VGK,right,takeaway,FLA,46.0,-35.0,O,,,,
,1,03:50,FLA,VGK,right,pass,VGK,-71.0,-1.0,O,,,,
,2,09:28,FLA,VGK,left,carry-in,FLA,-47.0,-24.0,D,,,,
822,3,08:53,FLA,VGK,right,blocked-shot,FLA,69.0,8.0,D,,,,
903,3,14:55,FLA,VGK,right,hit,FLA,-69.0,-38.0,D,,,,
528,2,13:30,FLA,VGK,left,takeaway,FLA,97.0,15.0,D,,,,
,3,09:01,FLA,VGK,right,pass,FLA,71.0,9.0,D,,,,
850,3,17:53,FLA,VGK,right,shot,FLA,86.0,-7.0,O,wrist,8478499.0,,
828,3,11:05,FLA,VGK,right,shot,FLA,-54.0,31.0,D,slap,8478499.0,,
376,2,02:13,FLA,VGK,left,shot,FLA,-53.0,-23.0,O,snap,8478499.0,,
370,2,00:50,FLA,VGK,left,shot,FLA,-81.0,0.0,O,tip-in,8478499.0,,
94,1,12:41,FLA,VGK,right,shot,FLA,58.0,-24.0,O,snap,8478499.0,,
,1,17:01,FLA,VGK,right,pass,VGK,-83.0,2.0,O,,,,
824,3,10:04,FLA,VGK,right,shot,VGK,-69.0,6.0,O,tip-in,8475683.0,,
,1,10:58,FLA,VGK,right,carry-in,VGK,-72.0,6.0,O,,,,
352,1,15:48,FLA,VGK,right,blocked-shot,FLA,41.0,-13.0,D,,,,
30,1,05:03,FLA,VGK,right,takeaway,FLA,-83.0,-3.0,D,,,,
,1,02:02,FLA,VGK,right,carry-in,VGK,-29.0,30.0,O,,,,
,2,13:39,FLA,VGK,left,carry-in,VGK,82.0,-24.0,O,,,,
714,3,00:17,FLA,VGK,right,hit,FLA,96.0,27.0,O,,,,
53,1,00:51,FLA,VGK,right,blocked-shot,VGK,-85.0,-13.0,D,,,,
,2,19:28,FLA,VGK,left,carry-in,FLA,9.0,-39.0,N,,,,
359,1,17:39,FLA,VGK,right,shot,FLA,76.0,9.0,O,snap,8478499.0,,
231,1,19:43,FLA,VGK,right,hit,FLA,92.0,-29.0,O,,,,
,1,17:10,FLA,VGK,right,pass,VGK,-87.0,1.0,O,,,,
,3,10:46,FLA,VGK,right,carry-in,FLA,78.0,5.0,O,,,,
,3,14:42,FLA,VGK,right,pass,VGK,-61.0,5.0,O,,,,
393,2,08:25,FLA,VGK,left,shot,FLA,-74.0,-16.0,O,snap,8478499.0,,
925,3,18:11,FLA,VGK,right,takeaway,VGK,55.0,33.0,D,,,,
,3,07:59,FLA,VGK,right,pass,FLA,60.0,20.0,O,,,,
,2,05:00,FLA,VGK,left,pass,VGK,65.0,-33.0,O,,,,
532,2,13:45,FLA,VGK,left,hit,VGK,-93.0,26.0,D,,,,
646,3,01:40,FLA,VGK,right,shot,VGK,-58.0,20.0,O,wrist,8475683.0,,
812,3,05:35,FLA,VGK,right,shot,VGK,-81.0,22.0,O,wrist,8475683.0,,
,1,15:55,FLA,VGK,right,carry-in,VGK,69.0,-21.0,D,,,,
253,1,08:30,FLA,VGK,right,shot,FLA,83.0,0.0,O,wrist,8478499.0,,
17,1,01:49,FLA,VGK,right,hit,FLA,-35.0,29.0,D,,,,
715,3,00:26,FLA,VGK,right,hit,FLA,92.0,-29.0,O,,,,
,3,06:34,FLA,VGK,right,pass,FLA,75.0,4.0,D,,,,
,2,19:48,FLA,VGK,left,pass,FLA,-73.0,40.0,O,,,,
,3,18:13,FLA,VGK,right,carry-in,VGK,65.0,33.0,D,,,,
,1,11:51,FLA,VGK,right,carry-in,VGK,-82.0,31.0,O,,,,
,1,00:41,FLA,VGK,right,pass,VGK,-84.0,34.0,O,,,,
,2,10:03,FLA,VGK,left,pass,FLA,-72.0,-19.0,O,,,,
8,1,00:23,FLA,VGK,right,hit,FLA,89.0,31.0,O,,,,
90,1,10:55,FLA,VGK,right,shot,VGK,-82.0,5.0,O,tip-in,8475683.0,,
,1,17:47,FLA,VGK,right,pass,FLA,78.0,7.0,O,,,,
,1,02:46,FLA,VGK,right,carry-in,FLA,43.0,39.0,O,,,,
,1,03:54,FLA,VGK,right,pass,VGK,-51.0,-20.0,O,,,,
549,2,18:53,FLA,VGK,left,hit,VGK,-86.0,36.0,D,,,,
619,2,16:27,FLA,VGK,left,shot,FLA,-70.0,-21.0,O,wrist,8478499.0,,
358,1,17:18,FLA,VGK,right,goal,VGK,-79.0,-1.0,O,snap,8475683.0,1.0,1.0
606,2,11:33,FLA,VGK,left,shot,VGK,35.0,23.0,O,slap,8475683.0,,
738,3,09:14,FLA,VGK,right,takeaway,FLA,90.0,7.0,O,,,,
55,1,01:29,FLA,VGK,right,shot,FLA,73.0,27.0,O,wrist,8478499.0,,
730,3,06:21,FLA,VGK,right,hit,VGK,89.0,32.0,D,,,,
61,1,03:07,FLA,VGK,right,shot,FLA,84.0,7.0,O,wrist,8478499.0,,
9,1,00:27,FLA,VGK,right,hit,FLA,-14.0,40.0,N,,,,
,2,11:13,FLA,VGK,left,pass,VGK,51.0,-2.0,O,,,,
515,2,10:40,FLA,VGK,left,hit,FLA,94.0,-27.0,D,,,,
,3,17:49,FLA,VGK,right,carry-in,FLA,-62.0,6.0,D,,,,
502,2,06:08,FLA,VGK,left,hit,VGK,64.0,-38.0,O,,,,
924,3,17:56,FLA,VGK,right,hit,VGK,97.0,-7.0,D,,,,
243,2,02:19,FLA,VGK,left,takeaway,VGK,-97.0,6.0,D,,,,
,3,05:24,FLA,VGK,right,pass,VGK,-72.0,-1.0,D,,,,
,2,13:49,FLA,VGK,left,carry-in,VGK,-84.0,8.0,D,,,,
203,1,11:41,FLA,VGK,right,takeaway,VGK,-92.0,29.0,O,,,,
,3,12:57,FLA,VGK,right,carry-in,FLA,104.0,-28.0,O,,,,
356,1,17:01,FLA,VGK,right,shot,VGK,-85.0,5.0,O,wrist,8475683.0,,
,2,13:33,FLA,VGK,left,pass,VGK,57.0,-13.0,O,,,,
612,2,13:33,FLA,VGK,left,shot,VGK,72.0,-23.0,O,wrist,8475683.0,,
747,3,13:29,FLA,VGK,right,hit,VGK,-85.0,34.0,O,,,,
365,1,19:21,FLA,VGK,right,shot,VGK,-81.0,-1.0,O,tip-in,8475683.0,,
,2,13:46,FLA,VGK,left,pass,VGK,-91.0,27.0,D,,,,
,2,00:50,FLA,VGK,left,pass,FLA,-79.0,2.0,O,,,,
,2,12:22,FLA,VGK,left,carry-in,FLA,100.0,23.0,D,,,,
64,1,03:49,FLA,VGK,right,shot,VGK,-73.0,-2.0,O,wrist,8475683.0,,
399,2,09:57,FLA,VGK,left,blocked-shot,FLA,-73.0,-13.0,D,,,,
354,1,16:23,FLA,VGK,right,shot,VGK,-75.0,39.0,O,snap,8475683.0,,
,1,19:10,FLA,VGK,right,carry-in,VGK,-22.0,0.0,O,,,,
75,1,07:44,FLA,VGK,right,blocked-shot,FLA,84.0,-7.0,D,,,,
,2,05:20,FLA,VGK,left,pass,VGK,83.0,-2.0,O,,,,
821,3,08:46,FLA,VGK,right,shot,FLA,63.0,31.0,O,slap,8478499.0,,
,3,13:40,FLA,VGK,right,pass,VGK,-61.0,3.0,O,,,,
,2,10:48,FLA,VGK,left,pass,VGK,40.0,-5.0,O,,,,
814,3,06:40,FLA,VGK,right,shot,FLA,89.0,-30.0,O,backhand,8478499.0,,
250,2,05:46,FLA,VGK,left,hit,FLA,-91.0,33.0,O,,,,
,1,15:11,FLA,VGK,right,carry-in,VGK,-31.0,-1.0,O,,,,
710,2,19:22,FLA,VGK,left,hit,VGK,-8.0,-38.0,N,,,,
211,1,14:13,FLA,VGK,right,takeaway,VGK,22.0,31.0,N,,,,
,3,16:50,FLA,VGK,right,pass,VGK,-79.0,0.0,O,,,,
535,2,15:00,FLA,VGK,left,takeaway,VGK,-45.0,-38.0,D,,,,
,1,00:25,FLA,VGK,right,carry-in,FLA,99.0,31.0,O,,,,
,2,12:41,FLA,VGK,left,pass,FLA,-49.0,-31.0,O,,,,
,1,18:56,FLA,VGK,right,carry-in,VGK,-77.0,6.0,O,,,,
806,3,03:21,FLA,VGK,right,shot,FLA,36.0,-21.0,O,wrist,8478499.0,,
360,1,17:56,FLA,VGK,right,blocked-shot,FLA,60.0,-19.0,D,,,,
388,2,06:11,FLA,VGK,left,shot,FLA,18.0,-38.0,N,tip-in,8478499.0,,
,1,12:55,FLA,VGK,right,pass,FLA,60.0,-26.0,O,,,,
504,2,06:39,FLA,VGK,left,hit,FLA,91.0,-22.0,D,,,,
,3,19:46,FLA,VGK,right,carry-in,FLA,81.0,-12.0,O,,,,
,3,00:30,FLA,VGK,right,carry-in,FLA,102.0,-27.0,O,,,,
748,3,13:39,FLA,VGK,right,takeaway,VGK,-63.0,2.0,O,,,,
526,2,13:33,FLA,VGK,left,takeaway,VGK,55.0,-12.0,O,,,,
,2,10:01,FLA,VGK,left,carry-in,FLA,-48.0,22.0,O,,,,
70,1,05:22,FLA,VGK,right,shot,FLA,60.0,0.0,O,snap,8478499.0,,
601,2,10:04,FLA,VGK,left,shot,FLA,-77.0,-9.0,O,snap,8478499.0,,
,1,03:58,FLA,VGK,right,carry-in,VGK,-35.0,-39.0,O,,,,
829,3,11:38,FLA,VGK,right,blocked-shot,VGK,-80.0,-5.0,D,,,,
238,2,00:18,FLA,VGK,left,hit,FLA,-28.0,-39.0,O,,,,
361,1,18:55,FLA,VGK,right,shot,VGK,-87.0,5.0,O,wrap-around,8475683.0,,
,1,09:23,FLA,VGK,right,pass,VGK,-84.0,-9.0,O,,,,
,1,03:10,FLA,VGK,right,carry-in,FLA,94.0,7.0,O,,,,
636,2,19:43,FLA,VGK,left,blocked-shot,FLA,-68.0,6.0,D,,,,
38,1,07:43,FLA,VGK,right,hit,FLA,89.0,-33.0,O,,,,
813,3,06:28,FLA,VGK,right,blocked-shot,FLA,73.0,7.0,D,,,,
305,3,14:20,FLA,VGK,right,takeaway,FLA,-80.0,1.0,D,,,,
,2,03:57,FLA,VGK,left,carry-in,VGK,-2.0,-41.0,N,,,,
,1,05:40,FLA,VGK,right,carry-in,FLA,70.0,2.0,O,,,,
31,1,05:03,FLA,VGK,right,hit,VGK,-87.0,-31.0,O,,,,
,3,00:15,FLA,VGK,right,carry-in,FLA,55.0,33.0,O,,,,
95,1,13:09,FLA,VGK,right,blocked-shot,FLA,65.0,-14.0,D,,,,
,2,08:08,FLA,VGK,left,pass,FLA,-81.0,40.0,O,,,,
71,1,06:34,FLA,VGK,right,blocked-shot,VGK,-61.0,1.0,D,,,,
,1,17:39,FLA,VGK,right,pass,FLA,83.0,8.0,D,,,,
605,2,10:54,FLA,VGK,left,goal,VGK,49.0,1.0,O,wrist,8475683.0,1.0,2.0
809,3,05:18,FLA,VGK,right,blocked-shot,VGK,-74.0,-2.0,D,,,,
96,1,13:29,FLA,VGK,right,blocked-shot,FLA,82.0,-12.0,D,,,,
,2,15:58,FLA,VGK,left,pass,FLA,-67.0,3.0,D,,,,
,2,04:41,FLA,VGK,left,carry-in,VGK,45.0,14.0,O,,,,
,1,17:32,FLA,VGK,right,carry-in,FLA,9.0,40.0,N,,,,
,1,03:02,FLA,VGK,right,carry-in,FLA,72.0,-20.0,O,,,,
823,3,09:09,FLA,VGK,right,shot,FLA,56.0,3.0,O,wrist,8478499.0,,
,1,10:00,FLA,VGK,right,carry-in,FLA,102.0,-31.0,O,,,,
79,1,08:10,FLA,VGK,right,blocked-shot,FLA,69.0,1.0,D,,,,
,2,16:30,FLA,VGK,left,pass,FLA,-68.0,-23.0,O,,,,
215,1,15:52,FLA,VGK,right,takeaway,VGK,59.0,-20.0,D,,,,
,1,12:38,FLA,VGK,right,pass,FLA,47.0,22.0,O,,,,
,1,19:23,FLA,VGK,right,pass,VGK,-79.0,-4.0,O,,,,
207,1,12:01,FLA,VGK,right,hit,VGK,-24.0,-39.0,N,,,,
819,3,08:38,FLA,VGK,right,shot,FLA,51.0,12.0,O,wrist,8478499.0,,
,1,07:57,FLA,VGK,right,pass,FLA,86.0,-9.0,D,,,,
931,3,19:09,FLA,VGK,right,takeaway,FLA,23.0,36.0,N,,,,
351,1,15:07,FLA,VGK,right,shot,VGK,-41.0,-3.0,O,wrist,8475683.0,,
,3,05:58,FLA,VGK,right,carry-in,VGK,-71.0,21.0,O,,,,
,1,07:43,FLA,VGK,right,pass,FLA,91.0,-36.0,O,,,,
239,2,00:34,FLA,VGK,left,hit,VGK,96.0,10.0,O,,,,
,3,16:17,FLA,VGK,right,pass,VGK,-66.0,-44.0,O,,,,
42,1,08:24,FLA,VGK,right,hit,VGK,88.0,32.0,D,,,,
544,2,17:06,FLA,VGK,left,hit,FLA,-90.0,29.0,O,,,,
19,1,02:15,FLA,VGK,right,hit,VGK,-96.0,3.0,O,,,,
,3,09:11,FLA,VGK,right,carry-in,FLA,66.0,5.0,O,,,,
301,1,03:59,FLA,VGK,right,blocked-shot,VGK,-68.0,-14.0,D,,,,
,2,13:32,FLA,VGK,left,carry-in,VGK,105.0,7.0,O,,,,
97,1,13:44,FLA,VGK,right,blocked-shot,FLA,72.0,11.0,D,,,,
811,3,05:31,FLA,VGK,right,blocked-shot,VGK,-60.0,-7.0,D,,,,
216,1,16:06,FLA,VGK,right,hit,VGK,14.0,-38.0,N,,,,
1001,3,18:15,FLA,VGK,right,goal,VGK,-1.0,-17.0,N,wrist,,2.0,5.0
89,1,10:51,FLA,VGK,right,shot,VGK,-60.0,15.0,O,snap,8475683.0,,
,2,02:08,FLA,VGK,left,pass,FLA,-71.0,28.0,O,,,,
,2,01:38,FLA,VGK,left,carry-in,VGK,93.0,6.0,O,,,,
503,2,06:33,FLA,VGK,left,hit,VGK,83.0,-36.0,O,,,,
81,1,08:30,FLA,VGK,right,shot,FLA,81.0,1.0,O,backhand,8478499.0,,
,3,19:25,FLA,VGK,right,carry-in,FLA,104.0,-31.0,O,,,,
,1,01:42,FLA,VGK,right,pass,VGK,-70.0,0.0,O,,,,
212,1,15:15,FLA,VGK,right,hit,VGK,-68.0,40.0,O,,,,
