Period,Time,X Coord,Y Coord,Score Diff,Action,Action Name
2,982,-79,-31,0,3,blocked-shot
3,385,-90,-34,-5,3,blocked-shot
2,1174,38,22,-5,3,blocked-shot
2,449,18,47,-1,3,blocked-shot
2,191,19,-42,-1,3,blocked-shot
1,229,55,39,4,3,blocked-shot
3,1140,81,-31,1,3,blocked-shot
3,607,56,-10,-4,3,blocked-shot
3,368,-93,44,3,3,blocked-shot
1,1122,78,-32,2,3,blocked-shot
2,1109,-41,48,4,3,blocked-shot
3,798,69,47,3,3,blocked-shot
3,435,33,14,-3,3,blocked-shot
1,143,-57,-48,1,3,blocked-shot
2,245,-2,-22,-2,3,blocked-shot
3,1148,-64,6,-3,3,blocked-shot
1,871,-86,-5,0,3,blocked-shot
3,557,37,-9,2,3,blocked-shot
2,229,-88,-7,1,3,blocked-shot
2,489,77,45,-5,3,blocked-shot
3,159,86,16,3,3,blocked-shot
2,836,61,9,-1,3,blocked-shot
3,15,8,-36,0,3,blocked-shot
3,821,28,-39,4,3,blocked-shot
2,1023,-97,25,-5,3,blocked-shot
1,959,-7,46,-5,3,blocked-shot
1,718,-34,30,-2,3,blocked-shot
1,1120,-62,-23,1,3,blocked-shot
3,1107,-98,-46,-5,3,blocked-shot
2,971,-72,7,4,3,blocked-shot
3,994,51,-44,3,3,blocked-shot
1,1055,-40,21,-1,3,blocked-shot
3,423,38,42,1,3,blocked-shot
2,563,-7,-32,-3,3,blocked-shot
2,862,54,13,-2,3,blocked-shot
3,311,-50,21,-5,3,blocked-shot
3,530,-22,33,-5,3,blocked-shot
3,1077,-92,4,3,3,blocked-shot
2,809,47,-16,-3,3,blocked-shot
2,51,13,14,3,3,blocked-shot
2,791,-26,23,-5,3,blocked-shot
2,296,29,-4,-5,3,blocked-shot
1,453,0,-29,-4,3,blocked-shot
3,159,-7,27,0,3,blocked-shot
1,1095,52,30,2,3,blocked-shot
3,230,-88,31,3,3,blocked-shot
1,395,31,40,3,3,blocked-shot
1,694,59,-39,4,3,blocked-shot
2,340,96,-33,-2,3,blocked-shot
2,199,-65,0,3,3,blocked-shot
2,563,-20,-42,0,3,blocked-shot
2,486,-29,13,-4,3,blocked-shot
3,971,-47,-12,2,3,blocked-shot
1,518,45,-25,-4,3,blocked-shot
2,853,-51,22,2,3,blocked-shot
1,686,76,-30,4,3,blocked-shot
2,60,-43,46,3,3,blocked-shot
2,41,63,-49,0,3,blocked-shot
3,512,9,13,-4,3,blocked-shot
2,436,-31,-32,-5,3,blocked-shot
3,242,44,48,-2,3,blocked-shot
3,1191,97,-45,2,3,blocked-shot
3,1069,89,34,-1,3,blocked-shot
2,197,-16,12,-4,3,blocked-shot
2,591,98,10,0,3,blocked-shot
1,624,16,17,1,3,blocked-shot
3,248,-71,-21,4,3,blocked-shot
3,809,67,-28,-1,3,blocked-shot
1,987,-35,35,2,3,blocked-shot
2,243,-94,9,1,3,blocked-shot
3,610,14,10,-2,3,blocked-shot
1,152,-25,36,-2,3,blocked-shot
1,1084,99,-46,-2,3,blocked-shot
3,973,-18,-47,-3,3,blocked-shot
3,178,-68,9,0,3,blocked-shot
1,191,-45,-19,-2,3,blocked-shot
2,1031,4,2,0,3,blocked-shot
1,800,-88,20,-2,3,blocked-shot
3,829,21,37,1,3,blocked-shot
1,757,47,-28,0,3,blocked-shot
1,972,17,-14,4,3,blocked-shot
3,545,-66,-48,-1,3,blocked-shot
3,681,-53,2,3,3,blocked-shot
2,1050,-64,-37,3,3,blocked-shot
1,423,-1,45,-3,3,blocked-shot
1,1067,-37,-46,0,3,blocked-shot
1,499,-95,12,0,3,blocked-shot
1,307,-24,9,-5,3,blocked-shot
1,951,92,-14,4,3,blocked-shot
2,219,49,-40,-1,3,blocked-shot
1,905,87,-16,3,3,blocked-shot
1,654,55,-22,-3,3,blocked-shot
3,515,50,-41,2,3,blocked-shot
3,3,-58,14,4,3,blocked-shot
1,177,67,-22,-5,3,blocked-shot
3,155,-18,-24,1,3,blocked-shot
3,951,45,-36,0,3,blocked-shot
2,428,-75,45,1,3,blocked-shot
2,721,-8,0,3,3,blocked-shot
2,718,67,15,1,3,blocked-shot
3,726,-91,20,0,3,blocked-shot
1,840,16,-39,4,3,blocked-shot
1,77,-31,-31,0,3,blocked-shot
1,460,7,24,0,3,blocked-shot
3,957,20,9,4,3,blocked-shot
2,664,74,3,-5,3,blocked-shot
3,698,-45,-13,3,3,blocked-shot
2,504,38,-41,1,3,blocked-shot
2,1111,53,28,-1,3,blocked-shot
1,533,43,33,-2,3,blocked-shot
2,707,-89,43,-3,3,blocked-shot
1,281,20,-21,-2,3,blocked-shot
3,4,82,32,1,3,blocked-shot
1,1020,-74,-36,1,3,blocked-shot
1,832,74,21,-4,3,blocked-shot
3,407,-60,-40,-4,3,blocked-shot
1,6,27,-6,1,3,blocked-shot
1,924,-97,-42,-5,3,blocked-shot
3,178,49,49,-5,3,blocked-shot
3,703,-80,-24,-4,3,blocked-shot
3,153,-76,39,-3,3,blocked-shot
3,593,-34,13,-4,3,blocked-shot
2,418,68,49,-5,3,blocked-shot
3,297,48,-46,-5,3,blocked-shot
2,373,-1,-40,4,3,blocked-shot
3,184,56,-40,-1,3,blocked-shot
2,377,-86,-45,-1,3,blocked-shot
1,631,56,23,-1,3,blocked-shot
1,53,41,7,-5,3,blocked-shot
2,912,-62,-39,2,3,blocked-shot
1,596,-89,22,4,3,blocked-shot
2,712,92,8,4,3,blocked-shot
1,637,52,47,2,3,blocked-shot
1,1017,-12,-2,3,3,blocked-shot
3,54,75,18,-1,3,blocked-shot
2,492,-24,2,-3,3,blocked-shot
1,1114,56,11,1,3,blocked-shot
1,277,-17,-39,-1,3,blocked-shot
2,723,-46,28,-3,3,blocked-shot
3,213,-18,-45,3,3,blocked-shot
1,1034,74,-35,2,3,blocked-shot
1,511,-86,20,-2,3,blocked-shot
3,712,-33,32,4,3,blocked-shot
3,724,27,-7,-5,3,blocked-shot
2,690,-74,17,-5,3,blocked-shot
3,1040,1,34,-5,3,blocked-shot
1,457,-45,-49,0,3,blocked-shot
1,260,12,-44,0,3,blocked-shot
2,853,-74,48,0,3,blocked-shot
2,1044,-41,40,3,3,blocked-shot
2,827,77,-2,1,3,blocked-shot
2,142,34,-42,2,3,blocked-shot
3,915,-77,7,0,3,blocked-shot
3,944,70,14,2,3,blocked-shot
1,21,37,-4,1,3,blocked-shot
1,474,-27,-37,4,3,blocked-shot
2,773,-29,-32,4,3,blocked-shot
1,70,5,34,3,3,blocked-shot
1,712,42,22,3,3,blocked-shot
3,313,-82,31,2,3,blocked-shot
1,1157,-40,17,-1,3,blocked-shot
3,903,14,-45,3,3,blocked-shot
3,601,-35,-43,-5,3,blocked-shot
2,905,-62,-3,-4,3,blocked-shot
2,925,79,-40,-2,3,blocked-shot
2,784,-10,-15,-2,3,blocked-shot
2,818,29,38,-4,3,blocked-shot
2,961,-48,14,-4,3,blocked-shot
3,358,-49,13,2,3,blocked-shot
2,49,-99,46,-2,3,blocked-shot
2,19,89,8,4,3,blocked-shot
1,473,-27,9,0,3,blocked-shot
2,667,-92,34,-1,3,blocked-shot
1,361,-58,33,-1,3,blocked-shot
2,825,-80,-24,-2,3,blocked-shot
2,1027,-53,-25,-1,3,blocked-shot
3,521,32,2,-5,3,blocked-shot
1,929,88,-43,-2,3,blocked-shot
3,107,-55,38,-2,3,blocked-shot
2,271,55,11,-2,3,blocked-shot
1,849,53,-49,-2,3,blocked-shot
3,164,-97,17,4,3,blocked-shot
1,1030,64,-35,-4,3,blocked-shot
2,1083,-61,42,-3,3,blocked-shot
3,1163,79,0,-5,3,blocked-shot
3,902,-26,8,-5,3,blocked-shot
1,1108,-82,-23,-2,3,blocked-shot
3,175,47,-22,-4,3,blocked-shot
2,647,-14,4,0,3,blocked-shot
1,711,56,-8,1,3,blocked-shot
3,1103,12,-39,2,3,blocked-shot
3,534,-59,21,4,3,blocked-shot
1,117,6,-26,-5,3,blocked-shot
2,406,98,-36,-2,3,blocked-shot
3,989,-76,-9,-1,3,blocked-shot
3,869,9,-1,-1,3,blocked-shot
1,482,37,-32,4,3,blocked-shot
3,95,-53,-10,-4,3,blocked-shot
3,127,26,-27,4,3,blocked-shot
3,315,-99,37,2,3,blocked-shot
2,471,25,-50,-1,3,blocked-shot
3,890,-16,-2,-2,3,blocked-shot
2,592,-40,-28,-5,3,blocked-shot
1,984,77,4,1,3,blocked-shot
1,1184,63,27,-4,3,blocked-shot
1,809,53,11,3,3,blocked-shot
3,95,31,43,-5,3,blocked-shot
2,349,-73,-1,-3,3,blocked-shot
3,69,81,-16,2,3,blocked-shot
1,248,87,33,2,3,blocked-shot
3,246,66,-21,2,3,blocked-shot
3,391,0,16,-1,3,blocked-shot
1,820,68,19,1,3,blocked-shot
2,1193,70,12,-4,3,blocked-shot
2,974,96,-8,-2,3,blocked-shot
1,941,-23,-4,1,3,blocked-shot
3,899,2,5,-4,3,blocked-shot
1,124,28,34,2,3,blocked-shot
2,1142,-13,-37,-1,3,blocked-shot
3,994,-63,35,2,3,blocked-shot
1,536,51,-22,1,3,blocked-shot
2,1110,19,-45,4,3,blocked-shot
1,272,-58,-18,-5,3,blocked-shot
3,1131,99,37,3,3,blocked-shot
3,366,48,-4,2,3,blocked-shot
3,1063,10,-26,3,3,blocked-shot
1,490,24,-44,-5,3,blocked-shot
2,653,-35,24,1,3,blocked-shot
2,866,-34,24,-3,3,blocked-shot
2,326,90,9,0,3,blocked-shot
3,673,56,37,4,3,blocked-shot
3,609,7,37,3,3,blocked-shot
3,1160,-40,-32,1,3,blocked-shot
3,80,64,44,0,3,blocked-shot
2,853,-91,3,0,3,blocked-shot
2,404,29,9,1,3,blocked-shot
3,926,82,20,-2,3,blocked-shot
3,308,-5,-33,4,3,blocked-shot
1,599,-95,-22,-4,3,blocked-shot
3,809,4,47,-5,3,blocked-shot
1,163,-82,20,-3,3,blocked-shot
3,911,-73,-9,-5,3,blocked-shot
3,569,17,30,-2,3,blocked-shot
3,1189,-48,30,-4,3,blocked-shot
1,173,61,33,2,3,blocked-shot
1,1141,55,-10,-3,3,blocked-shot
3,451,67,42,1,3,blocked-shot
3,548,29,49,-1,3,blocked-shot
2,724,33,-14,2,3,blocked-shot
2,80,-46,-40,-1,3,blocked-shot
1,126,79,-38,-5,3,blocked-shot
2,1083,-16,19,-5,3,blocked-shot
1,921,13,9,-5,3,blocked-shot
3,1040,-91,3,3,3,blocked-shot
1,1077,46,-47,2,3,blocked-shot
2,36,-98,4,-2,3,blocked-shot
2,30,-94,35,3,3,blocked-shot
3,624,42,11,0,3,blocked-shot
1,105,21,6,0,3,blocked-shot
2,797,24,-37,-3,3,blocked-shot
3,1015,-61,28,-3,3,blocked-shot
3,839,57,16,2,3,blocked-shot
3,149,-86,26,-3,3,blocked-shot
3,938,18,-7,-2,3,blocked-shot
1,615,76,-47,2,3,blocked-shot
2,483,-77,2,2,3,blocked-shot
1,1107,-20,-34,0,3,blocked-shot
1,686,-20,2,2,3,blocked-shot
3,1047,7,-34,-2,3,blocked-shot
2,554,-45,43,0,3,blocked-shot
1,277,38,-22,-2,3,blocked-shot
1,1099,-22,-10,-5,3,blocked-shot
1,786,66,-25,-3,3,blocked-shot
1,500,55,-26,-2,3,blocked-shot
2,965,23,-3,-3,3,blocked-shot
3,806,10,45,-4,3,blocked-shot
3,1113,-25,-21,2,3,blocked-shot
3,1135,6,-15,4,3,blocked-shot
2,965,37,-40,4,3,blocked-shot
2,154,10,24,2,3,blocked-shot
3,780,-68,-40,4,3,blocked-shot
2,798,67,7,-1,3,blocked-shot
1,693,-17,-38,0,3,blocked-shot
2,590,-94,22,3,3,blocked-shot
2,493,17,30,4,3,blocked-shot
2,13,56,-8,3,3,blocked-shot
2,630,67,-2,3,3,blocked-shot
1,178,-12,22,-3,3,blocked-shot
3,745,93,-10,-4,3,blocked-shot
2,326,10,7,-3,3,blocked-shot
3,853,-8,-4,0,3,blocked-shot
1,902,-26,-46,3,3,blocked-shot
2,391,-69,-1,0,3,blocked-shot
1,220,82,-25,4,3,blocked-shot
2,648,17,-24,1,3,blocked-shot
3,460,61,46,-5,3,blocked-shot
3,973,-6,-22,4,3,blocked-shot
1,848,78,-48,4,3,blocked-shot
1,513,38,29,-3,3,blocked-shot
3,1196,33,-24,3,3,blocked-shot
3,536,-67,-3,-4,3,blocked-shot
1,1161,-23,-12,4,3,blocked-shot
1,529,-80,11,4,3,blocked-shot
3,189,48,-39,-5,3,blocked-shot
3,974,79,-31,-3,3,blocked-shot
2,701,-62,26,-3,3,blocked-shot
2,820,64,-19,4,3,blocked-shot
2,197,41,11,-1,3,blocked-shot
3,379,29,-42,1,3,blocked-shot
1,1172,57,7,-1,3,blocked-shot
2,1168,-52,-36,-3,3,blocked-shot
1,1128,-76,19,4,3,blocked-shot
2,1047,78,-48,-3,3,blocked-shot
3,102,1,27,3,3,blocked-shot
2,753,48,-49,-1,3,blocked-shot
2,882,-13,19,4,3,blocked-shot
2,577,-5,-21,-5,3,blocked-shot
1,1112,-4,29,1,3,blocked-shot
2,742,69,45,1,3,blocked-shot
2,717,-93,14,-1,3,blocked-shot
1,828,69,-18,3,3,blocked-shot
1,658,-68,-50,-3,3,blocked-shot
2,1027,-4,-42,-3,3,blocked-shot
2,826,-100,43,1,3,blocked-shot
3,829,80,-38,3,3,blocked-shot
1,1091,76,5,3,3,blocked-shot
3,1034,85,3,3,3,blocked-shot
1,951,-46,-46,4,3,blocked-shot
3,774,-61,-10,0,3,blocked-shot
1,1159,-33,-16,3,3,blocked-shot
2,391,-2,-23,1,3,blocked-shot
3,760,-89,34,-2,3,blocked-shot
2,1056,81,17,0,3,blocked-shot
2,1060,-82,-4,-3,3,blocked-shot
3,157,87,38,-3,3,blocked-shot
1,755,-99,34,3,3,blocked-shot
3,994,-2,28,-1,3,blocked-shot
1,923,-37,-44,-4,3,blocked-shot
1,945,-52,-37,3,3,blocked-shot
2,498,13,-34,-5,3,blocked-shot
1,581,96,29,-5,3,blocked-shot
1,322,-54,16,-2,3,blocked-shot
3,964,-48,29,-5,3,blocked-shot
3,659,1,4,-2,3,blocked-shot
3,9,-65,46,-4,3,blocked-shot
3,1139,50,-9,-4,3,blocked-shot
1,875,16,37,-2,3,blocked-shot
2,92,-4,30,1,3,blocked-shot
1,463,-77,-7,4,3,blocked-shot
1,152,85,4,0,3,blocked-shot
3,108,-81,5,-2,3,blocked-shot
1,746,-15,-6,-1,3,blocked-shot
2,495,60,-18,-2,3,blocked-shot
1,1153,-38,43,-4,3,blocked-shot
3,616,-90,-11,3,3,blocked-shot
1,67,-71,4,1,3,blocked-shot
2,348,46,49,0,3,blocked-shot
2,286,-31,15,-5,3,blocked-shot
3,825,-30,-21,4,3,blocked-shot
2,393,67,-47,-5,3,blocked-shot
1,952,-48,-21,-3,3,blocked-shot
2,679,49,-10,-3,3,blocked-shot
2,206,-53,3,4,3,blocked-shot
1,642,-72,4,-2,3,blocked-shot
3,558,-50,31,2,3,blocked-shot
2,288,45,-7,-1,3,blocked-shot
2,1105,50,16,3,3,blocked-shot
3,884,29,34,-5,3,blocked-shot
3,741,-41,-39,4,3,blocked-shot
3,997,46,-33,-5,3,blocked-shot
3,184,-39,-41,1,3,blocked-shot
3,169,28,24,-2,3,blocked-shot
2,41,-94,-26,-5,3,blocked-shot
3,1012,38,-43,-1,3,blocked-shot
3,694,-49,-48,-2,3,blocked-shot
2,468,-53,-47,0,3,blocked-shot
3,192,75,4,-3,3,blocked-shot
2,1002,14,-47,3,3,blocked-shot
1,95,19,-20,1,3,blocked-shot
1,452,36,-5,-4,3,blocked-shot
3,1095,28,27,-5,3,blocked-shot
3,748,62,12,2,3,blocked-shot
1,807,7,46,2,3,blocked-shot
3,1082,-8,23,1,3,blocked-shot
1,795,1,-48,-5,3,blocked-shot
2,797,63,-23,-4,3,blocked-shot
1,345,-98,27,4,3,blocked-shot
3,843,-7,-44,2,3,blocked-shot
1,839,-83,38,-2,3,blocked-shot
2,793,-9,0,3,3,blocked-shot
2,826,-4,-28,-2,3,blocked-shot
1,330,9,-10,-5,3,blocked-shot
1,352,49,-12,-1,3,blocked-shot
1,776,54,-47,2,3,blocked-shot
2,163,59,-7,-1,3,blocked-shot
3,759,70,-14,-1,3,blocked-shot
2,1118,-91,-42,3,3,blocked-shot
2,810,-31,-46,4,3,blocked-shot
1,930,72,5,-5,3,blocked-shot
2,1168,9,13,-5,3,blocked-shot
2,566,37,12,0,3,blocked-shot
2,754,96,17,-3,3,blocked-shot
1,996,-57,49,-3,3,blocked-shot
3,742,-80,-34,-5,3,blocked-shot
1,860,63,-9,0,3,blocked-shot
3,235,-53,4,-3,3,blocked-shot
1,620,79,-38,-1,3,blocked-shot
3,1161,-37,34,2,3,blocked-shot
1,978,-53,12,-4,3,blocked-shot
3,364,-43,27,4,3,blocked-shot
3,805,-80,-24,1,3,blocked-shot
1,198,-11,7,-1,3,blocked-shot
2,796,-95,-15,0,3,blocked-shot
1,907,1,46,-5,3,blocked-shot
1,665,-84,-9,2,3,blocked-shot
3,189,-64,-30,-2,3,blocked-shot
2,301,-63,-16,-3,3,blocked-shot
1,529,-63,25,4,3,blocked-shot
1,761,-22,-30,1,3,blocked-shot
3,801,-35,-31,-4,3,blocked-shot
2,84,-43,11,-2,3,blocked-shot
1,501,60,-30,-3,3,blocked-shot
2,951,-95,39,2,3,blocked-shot
2,377,14,19,4,3,blocked-shot
2,793,89,-34,3,3,blocked-shot
1,1129,51,9,1,3,blocked-shot
1,22,-42,36,1,3,blocked-shot
3,689,95,-15,-2,3,blocked-shot
1,1144,-62,20,-1,3,blocked-shot
2,216,55,49,-2,3,blocked-shot
3,81,-6,5,0,3,blocked-shot
3,647,59,-19,4,3,blocked-shot
3,410,-75,-35,-1,3,blocked-shot
1,1010,42,14,-3,3,blocked-shot
3,1131,-85,-16,2,3,blocked-shot
3,1068,69,33,-1,3,blocked-shot
1,417,-62,39,-1,3,blocked-shot
2,776,-61,-7,-1,3,blocked-shot
2,332,46,-30,0,3,blocked-shot
2,943,51,22,-3,3,blocked-shot
1,814,-26,1,-4,3,blocked-shot
3,1152,88,-19,3,3,blocked-shot
2,193,-56,-48,4,3,blocked-shot
1,77,32,40,0,3,blocked-shot
1,927,56,36,-2,3,blocked-shot
2,1055,-11,46,3,3,blocked-shot
1,291,-39,3,-2,3,blocked-shot
3,105,-80,26,-1,3,blocked-shot
1,672,93,23,-3,3,blocked-shot
1,573,-82,35,-4,3,blocked-shot
3,193,-7,-31,1,3,blocked-shot
3,47,-40,-43,-1,3,blocked-shot
3,32,-59,10,0,3,blocked-shot
2,167,48,19,3,3,blocked-shot
3,802,-18,33,-1,3,blocked-shot
1,458,-84,34,2,3,blocked-shot
1,834,-30,49,-3,3,blocked-shot
1,43,-82,43,2,3,blocked-shot
2,178,-61,-33,0,3,blocked-shot
1,575,45,26,-3,3,blocked-shot
1,851,-12,42,-4,3,blocked-shot
1,828,20,-31,1,3,blocked-shot
1,20,45,21,1,3,blocked-shot
2,1024,-7,38,2,3,blocked-shot
3,23,96,37,-4,3,blocked-shot
1,578,45,-31,-5,3,blocked-shot
2,584,84,2,-4,3,blocked-shot
2,442,-63,-16,-4,3,blocked-shot
3,1107,89,-10,-5,3,blocked-shot
3,319,46,-48,-1,3,blocked-shot
1,354,61,32,-2,3,blocked-shot
1,545,-96,-24,-2,3,blocked-shot
3,344,-57,15,-2,3,blocked-shot
2,77,56,23,-5,3,blocked-shot
2,1092,93,29,-3,3,blocked-shot
1,154,87,3,-5,3,blocked-shot
3,801,-35,-35,-2,3,blocked-shot
1,955,38,-28,1,3,blocked-shot
3,958,39,47,2,3,blocked-shot
2,272,18,-22,3,3,blocked-shot
2,988,80,43,-4,3,blocked-shot
2,326,-25,-13,2,3,blocked-shot
3,198,59,47,-5,3,blocked-shot
1,989,77,37,-2,3,blocked-shot
3,397,-70,15,-3,3,blocked-shot
2,1072,-99,-22,-5,3,blocked-shot
2,149,71,3,4,3,blocked-shot
3,990,53,5,-3,3,blocked-shot
2,919,46,-36,3,3,blocked-shot
1,343,81,23,-3,3,blocked-shot
2,30,96,-22,-3,3,blocked-shot
2,1019,-26,33,-5,3,blocked-shot
2,416,-22,32,0,3,blocked-shot
1,945,-10,-48,-2,3,blocked-shot
2,968,60,-50,4,3,blocked-shot
1,95,65,12,0,3,blocked-shot
1,570,27,15,4,3,blocked-shot
3,11,86,3,2,3,blocked-shot
2,524,59,21,-3,3,blocked-shot
2,1136,-59,38,-1,3,blocked-shot
2,721,-75,-37,2,3,blocked-shot
1,264,-71,10,-2,3,blocked-shot
2,460,96,1,4,3,blocked-shot
1,522,-75,9,-1,3,blocked-shot
1,802,-79,-30,-2,3,blocked-shot
1,906,99,-16,4,3,blocked-shot
3,855,-73,-41,2,3,blocked-shot
1,1130,40,-13,0,3,blocked-shot
2,953,-83,-46,-2,3,blocked-shot
1,303,-36,28,-3,3,blocked-shot
2,14,-7,10,-3,3,blocked-shot
2,454,40,15,-5,3,blocked-shot
1,56,67,11,-3,3,blocked-shot
2,357,-43,15,-5,3,blocked-shot
1,189,-19,-50,-2,3,blocked-shot
2,1167,-49,17,1,3,blocked-shot
1,568,-78,30,-3,3,blocked-shot
1,599,-3,-1,4,3,blocked-shot
1,772,-80,-27,-2,3,blocked-shot
3,990,-82,-37,0,3,blocked-shot
2,236,-29,-2,3,3,blocked-shot
2,932,73,42,1,3,blocked-shot
1,1092,18,-30,3,3,blocked-shot
3,624,-79,-3,-2,3,blocked-shot
2,1107,-69,-6,-2,3,blocked-shot
2,96,70,-31,2,3,blocked-shot
3,1191,82,16,-2,3,blocked-shot
3,262,85,-49,1,3,blocked-shot
1,369,-36,-23,0,3,blocked-shot
2,100,31,23,-5,3,blocked-shot
2,545,13,8,4,3,blocked-shot
1,433,82,49,4,3,blocked-shot
3,356,22,12,-2,3,blocked-shot
2,145,45,-17,-2,3,blocked-shot
2,790,-35,44,-5,3,blocked-shot
2,545,37,-30,4,3,blocked-shot
3,383,-26,-11,2,3,blocked-shot
3,314,-26,4,-5,3,blocked-shot
3,1148,4,2,-1,3,blocked-shot
1,468,-61,-18,4,3,blocked-shot
3,669,-65,38,4,3,blocked-shot
2,935,-88,6,4,3,blocked-shot
2,249,-51,-3,4,3,blocked-shot
3,565,-90,-48,3,3,blocked-shot
2,1008,-66,37,0,3,blocked-shot
1,398,14,-41,4,3,blocked-shot
1,575,-76,-44,-3,3,blocked-shot
2,191,30,-48,4,3,blocked-shot
2,227,-95,-25,-1,3,blocked-shot
3,618,99,21,2,3,blocked-shot
3,213,53,44,-1,3,blocked-shot
3,962,38,6,-3,3,blocked-shot
3,180,19,30,0,3,blocked-shot
2,853,65,-15,3,3,blocked-shot
3,290,-41,42,-1,3,blocked-shot
2,347,71,-38,1,3,blocked-shot
2,61,88,-30,0,3,blocked-shot
3,117,94,48,0,3,blocked-shot
3,847,-11,45,-2,3,blocked-shot
3,1108,-83,-38,-4,3,blocked-shot
3,994,36,-46,-5,3,blocked-shot
2,1186,74,-31,-3,3,blocked-shot
3,771,96,-46,4,3,blocked-shot
3,462,85,11,4,3,blocked-shot
1,352,-44,-9,0,3,blocked-shot
1,174,68,-36,-3,3,blocked-shot
2,117,-62,-21,-3,3,blocked-shot
1,295,54,43,-1,3,blocked-shot
1,116,-39,39,-1,3,blocked-shot
1,898,0,-3,-2,3,blocked-shot
3,445,87,41,-5,3,blocked-shot
3,1075,-74,-30,1,3,blocked-shot
3,1060,48,-1,2,3,blocked-shot
2,701,45,-39,0,3,blocked-shot
2,1161,79,8,-5,3,blocked-shot
3,1033,43,13,4,3,blocked-shot
2,638,-59,-47,2,3,blocked-shot
3,106,-62,-2,-3,3,blocked-shot
1,922,13,43,-1,3,blocked-shot
